Name: CCTV-9纪录, URL: http://111.197.224.161:4022/rtp/239.3.1.62:8112, Date: None, Resolution: None, Response Time: 546ms
Name: CCTV-9纪录, URL: http://123.113.237.79:8888/rtp/239.3.1.62:8112, Date: None, Resolution: None, Response Time: 588ms
Name: CCTV-9纪录, URL: http://222.240.82.92:9901/tsfile/live/0009_1.m3u8, Date: 05-26-2023, Resolution: None, Response Time: 604ms
Name: CCTV-10科教, URL: http://222.129.32.10:8888/rtp/239.3.1.63:8116, Date: None, Resolution: None, Response Time: 543ms
Name: CCTV-10科教, URL: http://111.197.224.161:4022/rtp/239.3.1.63:8116, Date: None, Resolution: None, Response Time: 547ms
Name: CCTV-10科教, URL: http://123.113.237.79:8888/rtp/239.3.1.63:8116, Date: None, Resolution: None, Response Time: 590ms
Name: CCTV-11戏曲, URL: http://222.129.32.10:8888/rtp/239.3.1.152:8120, Date: None, Resolution: None, Response Time: 545ms
Name: CCTV-11戏曲, URL: http://111.197.224.161:4022/rtp/239.3.1.152:8120, Date: None, Resolution: None, Response Time: 548ms
Name: CCTV-11戏曲, URL: http://123.113.237.79:8888/rtp/239.3.1.152:8120, Date: None, Resolution: None, Response Time: 584ms
Name: CCTV-12社会与法, URL: http://123.122.160.131:19999/rtp/239.3.1.64:8124, Date: None, Resolution: None, Response Time: 505ms
Name: CCTV-12社会与法, URL: http://1.195.111.251:11190/tsfile/live/0012_1.m3u8, Date: 05-26-2023, Resolution: None, Response Time: 520ms
Name: CCTV-12社会与法, URL: http://222.129.32.10:8888/rtp/239.3.1.64:8124, Date: None, Resolution: None, Response Time: 542ms
Name: CCTV-12社会与法, URL: http://111.197.224.161:4022/rtp/239.3.1.64:8124, Date: None, Resolution: None, Response Time: 547ms
Name: CCTV-12社会与法, URL: http://123.113.237.79:8888/rtp/239.3.1.64:8124, Date: None, Resolution: None, Response Time: 581ms
Name: CCTV-14少儿, URL: http://114.241.227.97:8012/rtp/239.3.1.65:8132, Date: None, Resolution: None, Response Time: 500ms
