央视频道,#genre#
CCTV-14少儿,http://ha.tonyliangli.cn:4022/rtp/239.3.1.65:8132
CCTV-14少儿,http://221.219.69.208:18888/rtp/239.3.1.65:8132
CCTV-14少儿,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.65:8132
CCTV-14少儿,http://111.197.224.161:4022/rtp/239.3.1.65:8132
CCTV-15音乐,http://ha.tonyliangli.cn:4022/rtp/239.3.1.153:8136
CCTV-15音乐,http://221.219.69.208:18888/rtp/239.3.1.153:8136
CCTV-15音乐,http://125.34.185.54:10000/rtp/239.3.1.153:8136
CCTV-15音乐,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.153:8136
CCTV-15音乐,http://111.197.224.161:4022/rtp/239.3.1.153:8136
CCTV-16奥林匹克频道,http://ha.tonyliangli.cn:4022/rtp/239.3.1.184:8001
CCTV-16奥林匹克频道,http://221.219.69.208:18888/rtp/239.3.1.184:8001
CCTV-16奥林匹克频道,http://125.34.185.54:10000/rtp/239.3.1.184:8001
CCTV-16奥林匹克频道,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.184:8001
CCTV-16奥林匹克频道,http://111.197.224.161:4022/rtp/239.3.1.184:8001
CCTV-17农业农村,http://221.219.69.208:18888/rtp/239.3.1.151:8144
CCTV-17农业农村,http://125.34.185.54:10000/rtp/239.3.1.151:8144
CCTV-17农业农村,http://ha.tonyliangli.cn:4022/rtp/239.3.1.151:8144
CCTV-17农业农村,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.151:8144
CCTV-17农业农村,http://111.197.224.161:4022/rtp/239.3.1.151:8144

卫视频道,#genre#
湖南卫视,http://221.219.69.208:18888/rtp/239.3.1.132:8012
湖南卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.132:8012
湖南卫视,http://125.34.185.54:10000/rtp/239.3.1.132:8012
湖南卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.132:8012
湖南卫视,http://111.197.224.161:4022/rtp/239.3.1.132:8012
浙江卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.137:8036
浙江卫视,http://221.219.69.208:18888/rtp/239.3.1.137:8036
浙江卫视,http://125.34.185.54:10000/rtp/239.3.1.137:8036
浙江卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.137:8036
浙江卫视,http://sweetown.fun:4000/rtp/239.3.1.137:8036
江苏卫视,http://125.34.185.54:10000/rtp/239.3.1.135:8028
江苏卫视,http://221.219.69.208:18888/rtp/239.3.1.135:8028
江苏卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.135:8028
江苏卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.135:8028
江苏卫视,http://221.221.81.253:8180/rtp/239.3.1.135:8028
东方卫视,http://221.219.69.208:18888/rtp/239.3.1.136:8032
东方卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.136:8032
东方卫视,http://125.34.185.54:10000/rtp/239.3.1.136:8032
东方卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.136:8032
东方卫视,http://sweetown.fun:4000/rtp/239.3.1.136:8032
北京卫视高清,http://118.114.168.33:8888/rtp/239.93.0.180:5140
北京卫视高清,http://218.88.42.144:4022/rtp/239.93.0.180:5140
北京卫视高清,http://125.71.57.148:4022/rtp/239.93.0.180:5140
北京卫视高清,http://xeace.cn:8888/rtp/239.93.0.180:5140
北京卫视高清,http://182.150.187.80:9999/rtp/239.93.0.180:5140
山东卫视,http://125.34.185.54:10000/rtp/239.3.1.209:8052
山东卫视,http://221.219.69.208:18888/rtp/239.3.1.209:8052
山东卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.209:8052
山东卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.209:8052
山东卫视,http://sweetown.fun:4000/rtp/239.3.1.209:8052
安徽卫视,http://221.219.69.208:18888/rtp/239.3.1.211:8064
安徽卫视,http://125.34.185.54:10000/rtp/239.3.1.211:8064
安徽卫视,http://sweetown.fun:4000/rtp/239.3.1.211:8064
安徽卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.211:8064
安徽卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.211:8064
湖北卫视,http://125.34.185.54:10000/rtp/239.3.1.138:8044
湖北卫视,http://221.219.69.208:18888/rtp/239.3.1.138:8044
湖北卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.138:8044
湖北卫视,http://111.197.224.161:4022/rtp/239.3.1.138:8044
湖北卫视,http://sweetown.fun:4000/rtp/239.3.1.138:8044
东南卫视,http://221.219.69.208:18888/rtp/239.3.1.156:8148
东南卫视,http://125.34.185.54:10000/rtp/239.3.1.156:8148
东南卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.156:8148
东南卫视,http://sweetown.fun:4000/rtp/239.3.1.156:8148
东南卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.156:8148
广东卫视,http://221.219.69.208:18888/rtp/239.3.1.142:8048
广东卫视,http://221.219.101.215:8012/rtp/239.3.1.142:8048
广东卫视,http://125.34.185.54:10000/rtp/239.3.1.142:8048
广东卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.142:8048
广东卫视,http://masiqi.myqnapcloud.com:4022/rtp/239.3.1.142:8048
辽宁卫视,http://221.219.69.208:18888/rtp/239.3.1.210:8056
辽宁卫视,http://ha.tonyliangli.cn:4022/rtp/239.3.1.210:8056
辽宁卫视,http://125.34.185.54:10000/rtp/239.3.1.210:8056
